season,episode,All_lines,Andy_lines,Angela_lines,Bob_lines,Bob Vance_lines,Both_lines,Carol_lines,Cathy_lines,Charles_lines,Clark_lines,Creed_lines,Crowd_lines,Darryl_lines,David_lines,David Wallace_lines,Dwight_lines,Erin_lines,Everybody_lines,Everyone_lines,Gabe_lines,Group_lines,Guy_lines,Hank_lines,Holly_lines,Jan_lines,Jim_lines,Jo_lines,Josh_lines,Karen_lines,Kelly_lines,Kevin_lines,Man_lines,Meredith_lines,Michael_lines,Michael and Dwight_lines,Micheal_lines,Mose_lines,Nate_lines,Nellie_lines,Oscar_lines,Pam_lines,Pete_lines,Phyllis_lines,Robert_lines,Roy_lines,Ryan_lines,Stanley_lines,Toby_lines,Todd Packer_lines,Val_lines,Waiter_lines,Woman_lines,id,All_scenes,Andy_scenes,Angela_scenes,Bob_scenes,Bob Vance_scenes,Both_scenes,Carol_scenes,Cathy_scenes,Charles_scenes,Clark_scenes,Creed_scenes,Crowd_scenes,Darryl_scenes,David_scenes,David Wallace_scenes,Dwight_scenes,Erin_scenes,Everybody_scenes,Everyone_scenes,Gabe_scenes,Group_scenes,Guy_scenes,Hank_scenes,Holly_scenes,Jan_scenes,Jim_scenes,Jo_scenes,Josh_scenes,Karen_scenes,Kelly_scenes,Kevin_scenes,Man_scenes,Meredith_scenes,Michael_scenes,Michael and Dwight_scenes,Micheal_scenes,Mose_scenes,Nate_scenes,Nellie_scenes,Oscar_scenes,Pam_scenes,Pete_scenes,Phyllis_scenes,Robert_scenes,Roy_scenes,Ryan_scenes,Stanley_scenes,Toby_scenes,Todd Packer_scenes,Val_scenes,Waiter_scenes,Woman_scenes,index,episode_number,episode_title,description,ratings,votes,viewership_mil,duration,release_date,guest_stars,director,writers,has_guests,scaled_ratings
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,0.0,2.0,0.0,5.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,11,0,0,0,0,1,1,0,20,0,0,0,0,0,3,14,0,2,0,2,5,2,0,1,0,0,0,0,0.0,Pilot,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",7.5,4936.0,11.2,23.0,2005-03-24,,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels,False,0.28125
1,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,2,5,0,0,25,0,0,0,0,0,2,7,0,0,0,0,1,2,1,0,0,0,0,1,1.0,Diversity Day,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",8.3,4801.0,6.0,23.0,2005-03-29,,Ken Kwapis,B. J. Novak,False,0.53125
1,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,11,0,0,0,0,4,0,2,19,0,0,0,0,0,5,10,0,0,0,0,1,5,0,0,0,0,0,2,2.0,Health Care,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",7.8,4024.0,5.8,22.0,2005-04-05,,Ken Whittingham,Paul Lieberstein,False,0.375
1,4,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,79.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,0.0,5.0,0.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,21,0,0,0,0,2,0,3,19,0,0,0,0,0,4,10,0,2,0,1,2,2,2,0,0,0,0,3,3.0,The Alliance,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",8.1,3915.0,5.4,23.0,2005-04-12,,Bryan Gordon,Michael Schur,False,0.46875
1,5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,4.0,0.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,4,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,9,0,1,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,31,1,0,0,0,0,2,6,0,3,0,8,5,1,0,0,0,0,0,4,4.0,Basketball,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,8.4,4294.0,5.0,23.0,2005-04-19,,Greg Daniels,Greg Daniels,False,0.5625
1,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,14.0,12.0,3.0,7.0,0.0,0.0,0.0,0.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,2,0,0,21,0,0,0,0,0,1,11,0,0,0,2,4,1,1,0,0,0,0,5,5.0,Hot Girl,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,7.7,3854.0,4.8,23.0,2005-04-26,Amy Adams,Amy Heckerling,Mindy Kaling,True,0.34375
2,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,33.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,10.0,0.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,0,1,16,0,0,0,4,1,0,0,36,0,0,0,0,0,3,22,0,5,0,3,2,3,0,0,0,0,0,6,6.0,The Dundies,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",8.7,4315.0,9.0,21.0,2005-09-20,,Greg Daniels,Mindy Kaling,False,0.6562499999999996
2,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,0.0,14.0,1.0,1.0,26.0,20.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,4,8,0,0,0,0,3,0,1,26,0,0,0,0,0,0,13,0,2,0,3,1,1,10,8,0,0,0,7,7.0,Sexual Harassment,The office reviews its sexual harassment policy in light of explicit e-mails.,8.2,3665.0,7.13,22.0,2005-09-27,,Ken Kwapis,B. J. Novak,False,0.4999999999999996
2,3,0.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,20,0,0,1,0,0,0,0,0,0,22,0,0,0,0,4,0,1,22,0,0,0,0,0,5,12,0,2,0,0,3,3,0,0,0,0,0,8,8.0,Office Olympics,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",8.4,3665.0,8.3,22.0,2005-10-04,Nancy Carell,Paul Feig,Michael Schur,True,0.5625
2,4,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,69.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,6.0,0.0,6.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,14,0,0,0,2,4,0,3,26,0,0,0,0,0,2,9,0,3,0,2,18,4,0,0,0,0,0,9,9.0,The Fire,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,8.4,3607.0,7.6,22.0,2005-10-11,Amy Adams,Ken Kwapis,B. J. Novak,True,0.5625
