season,episode,Andy_lines,Angela_lines,Creed_lines,Darryl_lines,Dwight_lines,Erin_lines,Jim_lines,Kelly_lines,Kevin_lines,Meredith_lines,Michael_lines,Oscar_lines,Pam_lines,Phyllis_lines,Ryan_lines,Stanley_lines,Toby_lines,id,Andy_scenes,Angela_scenes,Creed_scenes,Darryl_scenes,Dwight_scenes,Erin_scenes,Jim_scenes,Kelly_scenes,Kevin_scenes,Meredith_scenes,Michael_scenes,Oscar_scenes,Pam_scenes,Phyllis_scenes,Ryan_scenes,Stanley_scenes,Toby_scenes,index
1,1,0.0,1.0,0.0,0.0,29.0,0.0,36.0,0.0,1.0,0.0,81.0,3.0,41.0,2.0,8.0,5.0,0.0,0,0,1,0,0,10,0,11,0,1,0,20,3,14,2,5,2,0,0
1,2,0.0,4.0,0.0,0.0,19.0,0.0,27.0,2.0,8.0,0.0,81.0,13.0,16.0,0.0,4.0,5.0,2.0,1,0,1,0,0,6,0,11,2,5,0,25,2,7,0,1,2,1,1
1,3,0.0,5.0,0.0,0.0,62.0,0.0,42.0,0.0,6.0,3.0,56.0,9.0,32.0,0.0,1.0,6.0,0.0,2,0,3,0,0,16,0,11,0,4,2,19,5,10,0,1,5,0,2
1,4,0.0,7.0,0.0,0.0,58.0,0.0,49.0,0.0,3.0,10.0,79.0,14.0,22.0,5.0,4.0,2.0,4.0,3,0,4,0,0,24,0,21,0,2,3,19,4,10,2,2,2,2,3
1,5,0.0,3.0,0.0,15.0,26.0,0.0,22.0,0.0,1.0,0.0,106.0,2.0,14.0,4.0,8.0,3.0,0.0,4,0,2,0,7,9,0,13,0,1,0,31,2,6,3,5,1,0,4
1,6,0.0,3.0,0.0,0.0,28.0,0.0,55.0,0.0,5.0,0.0,106.0,1.0,45.0,0.0,12.0,3.0,7.0,5,0,1,0,0,7,0,9,0,2,0,21,1,11,0,4,1,1,5
2,1,0.0,3.0,0.0,1.0,39.0,0.0,33.0,8.0,1.0,0.0,106.0,4.0,41.0,10.0,2.0,8.0,0.0,0,0,2,0,1,13,0,16,4,1,0,36,3,22,5,2,3,0,6
2,2,0.0,2.0,0.0,9.0,11.0,0.0,16.0,0.0,6.0,1.0,100.0,0.0,27.0,6.0,1.0,1.0,26.0,1,0,1,0,2,5,0,8,0,3,1,26,0,13,2,1,1,10,7
2,3,0.0,6.0,0.0,0.0,58.0,0.0,56.0,0.0,9.0,1.0,83.0,10.0,35.0,2.0,5.0,3.0,0.0,2,0,3,0,0,20,0,22,0,4,1,22,5,12,2,3,3,0,8
2,4,0.0,17.0,0.0,0.0,65.0,0.0,51.0,4.0,5.0,4.0,69.0,4.0,22.0,6.0,40.0,5.0,0.0,3,0,4,0,0,20,0,14,2,4,3,26,2,9,3,18,4,0,9
2,5,0.0,13.0,16.0,0.0,33.0,0.0,30.0,3.0,2.0,0.0,112.0,7.0,27.0,3.0,1.0,3.0,0.0,4,0,4,3,0,10,0,11,1,2,0,23,3,11,1,1,1,0,10
2,6,0.0,3.0,0.0,0.0,70.0,0.0,49.0,3.0,3.0,0.0,86.0,0.0,25.0,0.0,18.0,3.0,5.0,5,0,3,0,0,17,0,13,1,3,0,19,0,9,0,6,3,3,11
2,7,0.0,0.0,0.0,0.0,22.0,0.0,40.0,1.0,1.0,0.0,73.0,4.0,32.0,4.0,6.0,0.0,1.0,6,0,0,0,0,10,0,16,1,1,0,21,2,14,2,3,0,1,12
2,8,0.0,5.0,1.0,0.0,42.0,0.0,26.0,2.0,4.0,0.0,110.0,5.0,30.0,1.0,1.0,4.0,1.0,7,0,3,1,0,9,0,8,2,2,0,26,3,11,1,1,2,1,13
2,9,0.0,13.0,0.0,0.0,34.0,0.0,53.0,1.0,8.0,0.0,80.0,6.0,38.0,4.0,2.0,2.0,0.0,8,0,5,0,0,9,0,10,1,6,0,21,3,13,3,1,2,0,14
2,10,0.0,9.0,4.0,11.0,43.0,0.0,27.0,9.0,12.0,10.0,90.0,10.0,17.0,6.0,15.0,5.0,3.0,9,0,8,3,3,21,0,13,5,11,6,33,8,11,5,7,4,3,15
2,11,0.0,1.0,1.0,3.0,26.0,0.0,31.0,4.0,0.0,3.0,79.0,1.0,18.0,6.0,2.0,10.0,0.0,10,0,1,1,3,12,0,11,1,0,3,26,1,8,4,1,2,0,16
2,12,0.0,5.0,1.0,0.0,60.0,0.0,55.0,1.0,2.0,1.0,124.0,3.0,57.0,3.0,13.0,4.0,7.0,11,0,2,1,0,13,0,15,1,2,1,25,2,13,2,5,2,1,17
2,13,0.0,5.0,3.0,0.0,38.0,0.0,50.0,5.0,8.0,0.0,92.0,9.0,27.0,0.0,7.0,3.0,3.0,12,0,3,2,0,14,0,14,3,5,0,27,2,7,0,4,2,2,18
2,14,0.0,3.0,9.0,3.0,25.0,0.0,33.0,10.0,8.0,0.0,101.0,5.0,28.0,1.0,13.0,2.0,8.0,13,0,2,4,1,8,0,11,6,3,0,28,4,17,1,6,2,3,19
2,15,0.0,5.0,0.0,27.0,12.0,0.0,22.0,9.0,4.0,5.0,76.0,0.0,26.0,9.0,2.0,1.0,0.0,14,0,3,0,7,6,0,6,5,3,4,25,0,10,5,2,1,0,20
2,16,0.0,4.0,1.0,0.0,19.0,0.0,17.0,13.0,5.0,2.0,48.0,2.0,24.0,3.0,4.0,0.0,0.0,15,0,2,1,0,6,0,8,3,3,1,23,2,12,3,2,0,0,21
2,17,0.0,4.0,4.0,0.0,53.0,0.0,35.0,5.0,4.0,1.0,59.0,3.0,20.0,5.0,7.0,5.0,4.0,16,0,3,3,0,20,0,14,3,3,1,23,3,9,4,5,1,1,22
2,18,0.0,4.0,4.0,1.0,23.0,0.0,18.0,6.0,5.0,2.0,78.0,1.0,21.0,0.0,10.0,7.0,13.0,17,0,2,1,1,8,0,8,2,3,2,20,1,10,0,5,4,4,23
2,19,0.0,12.0,0.0,0.0,45.0,0.0,22.0,4.0,14.0,1.0,87.0,7.0,26.0,2.0,3.0,3.0,8.0,18,0,5,0,0,15,0,11,3,8,1,24,4,14,1,3,3,3,24
2,20,0.0,7.0,1.0,0.0,71.0,0.0,20.0,5.0,6.0,0.0,50.0,6.0,15.0,3.0,7.0,6.0,5.0,19,0,4,1,0,24,0,8,2,5,0,12,4,7,2,3,2,2,25
2,21,0.0,12.0,3.0,0.0,33.0,0.0,28.0,2.0,3.0,0.0,88.0,9.0,24.0,12.0,4.0,4.0,22.0,20,0,8,3,0,16,0,12,1,2,0,33,3,11,6,2,3,9,26
2,22,0.0,5.0,4.0,8.0,34.0,0.0,52.0,1.0,16.0,1.0,103.0,4.0,45.0,8.0,1.0,3.0,5.0,21,0,3,4,3,13,0,14,1,8,1,22,3,17,3,1,2,4,27
3,1,8.0,4.0,1.0,0.0,18.0,0.0,13.0,1.0,1.0,2.0,63.0,17.0,12.0,3.0,1.0,1.0,10.0,0,4,4,1,0,11,0,9,1,1,2,28,13,6,2,1,1,4,28
3,2,0.0,10.0,2.0,0.0,44.0,0.0,32.0,8.0,3.0,1.0,122.0,0.0,30.0,2.0,8.0,1.0,6.0,1,0,7,1,0,19,0,9,4,1,1,31,0,10,1,3,1,2,29
