season,Andy_lines,Angela_lines,Creed_lines,Darryl_lines,Dwight_lines,Erin_lines,Jim_lines,Kelly_lines,Kevin_lines,Meredith_lines,Michael_lines,Oscar_lines,Pam_lines,Phyllis_lines,Ryan_lines,Stanley_lines,Toby_lines,Andy_scenes,Angela_scenes,Creed_scenes,Darryl_scenes,Dwight_scenes,Erin_scenes,Jim_scenes,Kelly_scenes,Kevin_scenes,Meredith_scenes,Michael_scenes,Oscar_scenes,Pam_scenes,Phyllis_scenes,Ryan_scenes,Stanley_scenes,Toby_scenes,episode_number,episode_title,description,ratings,viewership_mil,scaled_ratings
1,0.0,1.0,0.0,0.0,29.0,0.0,36.0,0.0,1.0,0.0,81.0,3.0,41.0,2.0,8.0,5.0,0.0,0,1,0,0,10,0,11,0,1,0,20,3,14,2,5,2,0,0.0,Pilot,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",7.5,11.2,0.28125
1,0.0,4.0,0.0,0.0,19.0,0.0,27.0,2.0,8.0,0.0,81.0,13.0,16.0,0.0,4.0,5.0,2.0,0,1,0,0,6,0,11,2,5,0,25,2,7,0,1,2,1,1.0,Diversity Day,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",8.3,6.0,0.53125
1,0.0,5.0,0.0,0.0,62.0,0.0,42.0,0.0,6.0,3.0,56.0,9.0,32.0,0.0,1.0,6.0,0.0,0,3,0,0,16,0,11,0,4,2,19,5,10,0,1,5,0,2.0,Health Care,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",7.8,5.8,0.375
1,0.0,7.0,0.0,0.0,58.0,0.0,49.0,0.0,3.0,10.0,79.0,14.0,22.0,5.0,4.0,2.0,4.0,0,4,0,0,24,0,21,0,2,3,19,4,10,2,2,2,2,3.0,The Alliance,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",8.1,5.4,0.46875
1,0.0,3.0,0.0,15.0,26.0,0.0,22.0,0.0,1.0,0.0,106.0,2.0,14.0,4.0,8.0,3.0,0.0,0,2,0,7,9,0,13,0,1,0,31,2,6,3,5,1,0,4.0,Basketball,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,8.4,5.0,0.5625
1,0.0,3.0,0.0,0.0,28.0,0.0,55.0,0.0,5.0,0.0,106.0,1.0,45.0,0.0,12.0,3.0,7.0,0,1,0,0,7,0,9,0,2,0,21,1,11,0,4,1,1,5.0,Hot Girl,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,7.7,4.8,0.34375
2,0.0,3.0,0.0,1.0,39.0,0.0,33.0,8.0,1.0,0.0,106.0,4.0,41.0,10.0,2.0,8.0,0.0,0,2,0,1,13,0,16,4,1,0,36,3,22,5,2,3,0,6.0,The Dundies,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",8.7,9.0,0.6562499999999996
2,0.0,2.0,0.0,9.0,11.0,0.0,16.0,0.0,6.0,1.0,100.0,0.0,27.0,6.0,1.0,1.0,26.0,0,1,0,2,5,0,8,0,3,1,26,0,13,2,1,1,10,7.0,Sexual Harassment,The office reviews its sexual harassment policy in light of explicit e-mails.,8.2,7.13,0.4999999999999996
2,0.0,6.0,0.0,0.0,58.0,0.0,56.0,0.0,9.0,1.0,83.0,10.0,35.0,2.0,5.0,3.0,0.0,0,3,0,0,20,0,22,0,4,1,22,5,12,2,3,3,0,8.0,Office Olympics,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",8.4,8.3,0.5625
2,0.0,17.0,0.0,0.0,65.0,0.0,51.0,4.0,5.0,4.0,69.0,4.0,22.0,6.0,40.0,5.0,0.0,0,4,0,0,20,0,14,2,4,3,26,2,9,3,18,4,0,9.0,The Fire,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,8.4,7.6,0.5625
2,0.0,13.0,16.0,0.0,33.0,0.0,30.0,3.0,2.0,0.0,112.0,7.0,27.0,3.0,1.0,3.0,0.0,0,4,3,0,10,0,11,1,2,0,23,3,11,1,1,1,0,10.0,Halloween,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",8.1,8.0,0.46875
2,0.0,3.0,0.0,0.0,70.0,0.0,49.0,3.0,3.0,0.0,86.0,0.0,25.0,0.0,18.0,3.0,5.0,0,3,0,0,17,0,13,1,3,0,19,0,9,0,6,3,3,11.0,The Fight,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,8.1,7.9,0.46875
2,0.0,0.0,0.0,0.0,22.0,0.0,40.0,1.0,1.0,0.0,73.0,4.0,32.0,4.0,6.0,0.0,1.0,0,0,0,0,10,0,16,1,1,0,21,2,14,2,3,0,1,12.0,The Client,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",8.6,7.5,0.625
2,0.0,5.0,1.0,0.0,42.0,0.0,26.0,2.0,4.0,0.0,110.0,5.0,30.0,1.0,1.0,4.0,1.0,0,3,1,0,9,0,8,2,2,0,26,3,11,1,1,2,1,13.0,Performance Review,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",8.2,8.0,0.4999999999999996
2,0.0,13.0,0.0,0.0,34.0,0.0,53.0,1.0,8.0,0.0,80.0,6.0,38.0,4.0,2.0,2.0,0.0,0,5,0,0,9,0,10,1,6,0,21,3,13,3,1,2,0,14.0,E-Mail Surveillance,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",8.4,8.1,0.5625
2,0.0,9.0,4.0,11.0,43.0,0.0,27.0,9.0,12.0,10.0,90.0,10.0,17.0,6.0,15.0,5.0,3.0,0,8,3,3,21,0,13,5,11,6,33,8,11,5,7,4,3,15.0,Christmas Party,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",8.9,9.7,0.71875
2,0.0,1.0,1.0,3.0,26.0,0.0,31.0,4.0,0.0,3.0,79.0,1.0,18.0,6.0,2.0,10.0,0.0,0,1,1,3,12,0,11,1,0,3,26,1,8,4,1,2,0,16.0,Booze Cruise,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",8.6,8.7,0.625
2,0.0,5.0,1.0,0.0,60.0,0.0,55.0,1.0,2.0,1.0,124.0,3.0,57.0,3.0,13.0,4.0,7.0,0,2,1,0,13,0,15,1,2,1,25,2,13,2,5,2,1,17.0,The Injury,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",9.1,10.3,0.7812499999999996
2,0.0,5.0,3.0,0.0,38.0,0.0,50.0,5.0,8.0,0.0,92.0,9.0,27.0,0.0,7.0,3.0,3.0,0,3,2,0,14,0,14,3,5,0,27,2,7,0,4,2,2,18.0,The Secret,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",8.3,8.7,0.53125
2,0.0,3.0,9.0,3.0,25.0,0.0,33.0,10.0,8.0,0.0,101.0,5.0,28.0,1.0,13.0,2.0,8.0,0,2,4,1,8,0,11,6,3,0,28,4,17,1,6,2,3,19.0,The Carpet,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,7.8,8.6,0.375
