x_label,season,episode_number,episode_title,ratings,scaled_ratings,viewership_mil
S1E0,1,0,Pilot,7.5,0.28125,11.2
S1E1,1,1,Diversity Day,8.3,0.53125,6.0
S1E2,1,2,Health Care,7.8,0.375,5.8
S1E3,1,3,The Alliance,8.1,0.46875,5.4
S1E4,1,4,Basketball,8.4,0.5625,5.0
S1E5,1,5,Hot Girl,7.7,0.34375,4.8
S2E6,2,6,The Dundies,8.7,0.6562499999999996,9.0
S2E7,2,7,Sexual Harassment,8.2,0.4999999999999996,7.13
S2E8,2,8,Office Olympics,8.4,0.5625,8.3
S2E9,2,9,The Fire,8.4,0.5625,7.6
S2E10,2,10,Halloween,8.1,0.46875,8.0
S2E11,2,11,The Fight,8.1,0.46875,7.9
S2E12,2,12,The Client,8.6,0.625,7.5
S2E13,2,13,Performance Review,8.2,0.4999999999999996,8.0
S2E14,2,14,E-Mail Surveillance,8.4,0.5625,8.1
S2E15,2,15,Christmas Party,8.9,0.71875,9.7
S2E16,2,16,Booze Cruise,8.6,0.625,8.7
S2E17,2,17,The Injury,9.1,0.7812499999999996,10.3
S2E18,2,18,The Secret,8.3,0.53125,8.7
S2E19,2,19,The Carpet,7.8,0.375,8.6
S2E20,2,20,Boys and Girls,8.2,0.4999999999999996,5.42
S2E21,2,21,Valentine's Day,8.3,0.53125,8.95
S2E22,2,22,Dwight's Speech,8.5,0.59375,8.4
S2E23,2,23,Take Your Daughter to Work Day,8.3,0.53125,8.8
S2E24,2,24,Michael's Birthday,8.1,0.46875,7.8
S2E25,2,25,Drug Testing,8.4,0.5625,7.8
S2E26,2,26,Conflict Resolution,8.7,0.6562499999999996,7.4
S2E27,2,27,Casino Night,9.4,0.875,7.6
S3E28,3,28,Gay Witch Hunt,9.0,0.75,9.11
S3E29,3,29,The Convention,8.2,0.4999999999999996,7.78
S3E30,3,30,The Coup,8.5,0.59375,8.89
S3E31,3,31,Grief Counseling,8.0,0.4375,8.83
S3E32,3,32,Initiation,8.1,0.46875,8.46
S3E33,3,33,Diwali,7.9,0.40625,8.81
S3E34,3,34,Branch Closing,8.6,0.625,8.05
S3E35,3,35,The Merger,8.7,0.6562499999999996,8.63
S3E36,3,36,The Convict,8.3,0.53125,9.07
S3E37,3,37,A Benihana Christmas,8.8,0.6875,8.44
S3E38,3,38,Back from Vacation,8.5,0.59375,8.8
S3E39,3,39,Traveling Salesmen,8.6,0.625,10.12
S3E40,3,40,The Return,8.8,0.6875,10.2
S3E41,3,41,Ben Franklin,8.1,0.46875,10.11
S3E42,3,42,Phyllis' Wedding,8.2,0.4999999999999996,8.84
S3E43,3,43,Business School,8.9,0.71875,8.84
S3E44,3,44,Cocktails,8.5,0.59375,8.3
S3E45,3,45,The Negotiation,9.0,0.75,6.74
S3E46,3,46,Safety Training,8.8,0.6875,7.71
S3E47,3,47,Product Recall,8.7,0.6562499999999996,7.56
S3E48,3,48,Women's Appreciation,8.8,0.6875,7.0
S3E49,3,49,Beach Games,9.2,0.8124999999999996,7.2
S3E50,3,50,The Job,9.3,0.84375,7.88
S4E51,4,51,Fun Run,8.8,0.6875,9.7
S4E52,4,52,Dunder Mifflin Infinity,8.3,0.53125,8.49
S4E53,4,53,Launch Party,8.4,0.5625,8.91
S4E54,4,54,Money,8.7,0.6562499999999996,8.5
S4E55,4,55,Local Ad,8.8,0.6875,8.98
S4E56,4,56,Branch Wars,8.5,0.59375,8.39
S4E57,4,57,Survivor Man,8.2,0.4999999999999996,8.29
